,Unnamed: 0,bnf_code,brand_name,presentation,term,quantity,dose,group,with_calcium_channel_blocker,with_diuretic
155,155.0,0204000H0AABDBD,Bisoprolol Fumar,Bisoprolol Fumar_Liq Spec 625mcg/5ml,Bisoprolol Fumarate,,,beta blockers,False,False
156,156.0,0204000H0AABEBE,Bisoprolol Fumar,Bisoprolol Fumar_Oral Soln 2.5mg/5ml,Bisoprolol Fumarate,,5 mg/5 ml,beta blockers,False,False
157,157.0,0204000H0AABFBF,Bisoprolol Fumar,Bisoprolol Fumar_Oral Susp 2.5mg/5ml,Bisoprolol Fumarate,,5 mg/5 ml,beta blockers,False,False
158,158.0,0204000H0AABGBG,Bisoprolol Fumar,Bisoprolol Fumar_Oral Soln 5mg/5ml,Bisoprolol Fumarate,,5 mg/5 ml,beta blockers,False,False
159,159.0,0204000H0AABHBH,Bisoprolol Fumar,Bisoprolol Fumar_Oral Susp 5mg/5ml,Bisoprolol Fumarate,,5 mg/5 ml,beta blockers,False,False
160,160.0,0204000H0AABIBI,Bisoprolol Fumar,Bisoprolol Fumar_Oral Susp 1.25mg/5ml,Bisoprolol Fumarate,,25 mg/5 ml,beta blockers,False,False
161,161.0,0204000H0AABJBJ,Bisoprolol Fumar,Bisoprolol Fumar_Oral Soln 1.25mg/5ml,Bisoprolol Fumarate,,25 mg/5 ml,beta blockers,False,False
162,162.0,0204000H0BBAAAA,Monocor,Monocor_Tab 5mg,Bisoprolol Fumarate,,5 mg,beta blockers,False,False
163,163.0,0204000H0BBABAB,Monocor,Monocor_Tab 10mg,Bisoprolol Fumarate,,10 mg,beta blockers,False,False
164,164.0,0204000H0BCAAAA,Emcor,Emcor LS_Tab 5mg,Bisoprolol Fumarate,,5 mg,beta blockers,False,False
165,165.0,0204000H0BCABAB,Emcor,Emcor_Tab 10mg,Bisoprolol Fumarate,,10 mg,beta blockers,False,False
166,166.0,0204000H0BDAAAA,Isoten Mitis,Isoten Mitis_Tab 5mg,Bisoprolol Fumarate,,5 mg,beta blockers,False,False
167,167.0,0204000H0BEAAAB,Soprol,Soprol_Tab 10mg,Bisoprolol Fumarate,,10 mg,beta blockers,False,False
168,168.0,0204000H0BFAAAM,Cardicor,Cardicor_Tab 1.25mg,Bisoprolol Fumarate,,1.25 mg,beta blockers,False,False
169,169.0,0204000H0BFABAJ,Cardicor,Cardicor_Tab 2.5mg,Bisoprolol Fumarate,,2.5 mg,beta blockers,False,False
170,170.0,0204000H0BFACAK,Cardicor,Cardicor_Tab 3.75mg,Bisoprolol Fumarate,,3.75 mg,beta blockers,False,False
171,171.0,0204000H0BFADAA,Cardicor,Cardicor_Tab 5mg,Bisoprolol Fumarate,,5 mg,beta blockers,False,False
172,172.0,0204000H0BFAEAL,Cardicor,Cardicor_Tab 7.5mg,Bisoprolol Fumarate,,7.5 mg,beta blockers,False,False
173,173.0,0204000H0BFAFAB,Cardicor,Cardicor_Tab 10mg,Bisoprolol Fumarate,,10 mg,beta blockers,False,False
174,174.0,0204000H0BGAAAA,Bipranix,Bipranix_Tab 5mg,Bisoprolol Fumarate,,5 mg,beta blockers,False,False
175,175.0,0204000H0BGABAB,Bipranix,Bipranix_Tab 10mg,Bisoprolol Fumarate,,10 mg,beta blockers,False,False
176,176.0,0204000H0BHAAAB,Concor,Concor_Tab 10mg,Bisoprolol Fumarate,,10 mg,beta blockers,False,False
177,177.0,0204000H0BIAAAA,Soloc,Soloc_Tab 5mg,Bisoprolol Fumarate,,5 mg,beta blockers,False,False
178,178.0,0204000H0BIABAB,Soloc,Soloc_Tab 10mg,Bisoprolol Fumarate,,10 mg,beta blockers,False,False
179,179.0,0204000H0BJAAAA,Vivacor,Vivacor_Tab 5mg,Bisoprolol Fumarate,,5 mg,beta blockers,False,False
180,180.0,0204000H0BJABAB,Vivacor,Vivacor_Tab 10mg,Bisoprolol Fumarate,,10 mg,beta blockers,False,False
181,181.0,0204000H0BKAAAM,Congescor,Congescor_Tab 1.25mg (Tillomed),Bisoprolol Fumarate,,1.25 mg,beta blockers,False,False
182,182.0,0204000H0BKABAJ,Congescor,Congescor_Tab 2.5mg (Tillomed),Bisoprolol Fumarate,,2.5 mg,beta blockers,False,False
183,183.0,0204000H0BKACAM,Congescor,Congescor_Tab 1.25mg (Teva),Bisoprolol Fumarate,,1.25 mg,beta blockers,False,False
